Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
339030;53;75,58;76,002;26,558;24,88;74,799;74,819;74,678;24,866;23,973;23,9;-0,067;-0,089;-0,101
339034;73;62,279;62,188;20,69;21,36;61,914;62,114;61,927;19,921;21,338;21,311;-0,04;-0,006;-0,023
339036;44;84,423;84,66;24,207;23,846;84,627;85,282;84,241;24,613;24,246;23,664;0,018;0,049;-0,035
339037;48;48,4;48,401;12,568;13,04;49,424;49,795;48,58;14,331;13,864;13,09;0,165;0,195;0,028
339040;39;73,909;74,597;27,281;23,553;71,553;71,398;72,235;21,327;20,411;20,842;-0,218;-0,267;-0,18
339045;27;46,889;46,668;12,851;14,618;49,462;50,152;47,061;16,434;15,942;14,483;0,377;0,439;0,061
339047;17;86,322;86,029;22,739;25,417;92,352;95,75;86,003;30,239;30,376;25,424;0,486;0,702;-0,002
339048;27;59,45;59,717;21,768;21,82;59,944;60,599;59,339;22,722;22,288;21,732;0,049;0,074;-0,036
339051;39;62,903;62,894;17,403;18,095;64,598;65,502;63,039;20,236;19,751;18,135;0,195;0,261;0,016
339053;37;45,494;45,84;21,614;20,352;44,728;45,033;44,839;19,93;19,793;19,715;-0,081;-0,073;-0,093
339054;21;50,234;50,418;14,263;14,282;51,243;51,707;50,06;16,036;15,134;14,154;0,145;0,164;-0,051
339057;15;64,453;64,645;12,925;13,343;65,268;66,249;64,411;14,379;14,107;13,368;0,13;0,221;-0,039
339058;16;61,412;61,666;16,037;16,529;62,478;63,24;61,406;17,926;17,2;16,561;0,136;0,175;-0,035
339068;18;53,007;53,865;21,933;16,922;49,892;51,16;51,86;11,943;13,644;13,724;-0,434;-0,324;-0,195
339070;28;59,332;59,305;20,864;22,003;61,267;61,638;59,301;24,127;23,177;22,002;0,187;0,193;0
339071;15;51,596;52,714;25,185;20,939;49,237;49,432;50,841;19,083;17,54;18,47;-0,24;-0,323;-0,159
339074;32;55,353;55,461;17,714;17,961;55,533;55,978;55,212;18,07;18,205;17,91;0,022;0,053;-0,028
339076;16;76,39;77,029;20,038;17,706;75,532;73,931;75,597;18,117;14,538;15,947;-0,1;-0,362;-0,147
339077;16;66,568;66,802;28,36;28,626;69,419;68,991;65,873;33,098;30,061;28,28;0,201;0,137;-0,067
339078;47;56,825;57,039;23,795;22,964;55,837;56,618;56,288;21,592;22,73;22,628;-0,096;-0,034;-0,064
339084;46;65,625;66,01;23,044;21,485;64,631;65,017;64,892;20,818;20,77;20,719;-0,1;-0,086;-0,099
340005;78;57,767;57,337;18,162;21,918;59,707;60,765;59,158;21,35;22,064;21,019;0,213;0,306;0,182
340008;58;70,754;70,757;18,582;19,12;71,737;71,948;70,931;20,37;19,789;19,18;0,11;0,114;0,018
340014;101;61,557;61,648;18,722;18,493;61,527;61,567;61,335;18,66;18,445;18,328;-0,004;-0,008;-0,032
340015;72;62,418;62,483;22,774;22,633;62,468;62,216;61,953;22,875;22,485;22,385;0,005;-0,021;-0,044
340017;46;73,216;73,232;20,269;21,126;74,559;75,164;73,527;22,649;22,134;21,183;0,136;0,168;0,029
340018;101;80,037;79,912;23,146;24,243;81,338;81,216;80,553;25,497;24,887;24,46;0,116;0,099;0,051
340020;57;66,267;66,832;25,753;20,913;62,879;64,174;64,368;15,532;17,909;17,826;-0,382;-0,222;-0,193
340023;79;68,835;69,093;19,652;18,345;68,129;67,97;67,964;18,1;17,456;17,453;-0,083;-0,113;-0,114
340030;102;66,199;66,284;20,27;20,188;66,285;66,508;66,16;20,443;20,32;20,128;0,009;0,021;-0,012
340031;105;70,149;70,258;17,71;17,181;69,621;69,875;69,748;16,565;16,951;16,902;-0,068;-0,041;-0,056
340035;52;51,779;51,625;12,703;13,912;53,573;54,32;52,292;15,474;15,279;13,944;0,275;0,353;0,1
340038;61;60,852;61,108;21,142;19,803;59,826;60,246;60,139;18,812;19,2;19,161;-0,114;-0,083;-0,094
340039;73;65,011;65,153;24,653;24,465;64,818;65,1;64,755;24,255;24,437;24,309;-0,017;-0,004;-0,031
340041;67;78,086;77,888;21,14;22,957;79,777;79,96;78,797;24,06;23,713;23,022;0,162;0,167;0,08
340045;89;54,142;53,92;18,181;20,036;54,867;55,005;54,59;19,534;20,206;20,006;0,084;0,101;0,066
340049;83;55,799;55,758;17,801;18,401;56,9;56,643;56,054;19,769;18,888;18,517;0,127;0,087;0,031
340064;28;61,48;61,717;19,507;19,316;62,312;62,746;61,277;21,05;20,011;19,138;0,089;0,098;-0,047
340066;33;49,365;49,46;16,414;16,52;49,436;49,612;49,123;16,556;16,593;16,43;0,009;0,017;-0,04
340067;40;63,898;63,974;23,686;24,414;65,815;66,542;64,111;26,99;25,95;24,451;0,164;0,192;0,011
340072;18;56,501;57,081;17,92;16,34;56,038;56,388;56,175;16,925;15,789;15,663;-0,059;-0,08;-0,107
